Run,Tag
ERR1810963,1
ERR1810967,1
ERR1810971,1
ERR1810975,0
ERR1810979,0
ERR1810982,0
ERR1810986,0
ERR1810990,1
ERR1810997,1
ERR1811001,0
ERR1811005,0
ERR1811009,0
ERR1811013,0
ERR1811017,1
ERR1811021,0
ERR1811025,0
ERR1811029,0
ERR1811033,1
ERR1811037,0
ERR1811040,0
ERR1811043,1
ERR1811046,0
ERR1811049,0
ERR1811052,0
ERR1811055,0
ERR1811058,0
ERR1811061,0
ERR1811063,1
ERR1811067,1
ERR1811071,0
ERR1811075,0
ERR1811079,1
ERR1811082,0
ERR1811086,0
ERR1811089,0
ERR1811093,0
ERR1811097,0
ERR1810966,0
ERR1810970,0
ERR1810974,0
ERR1810978,0
ERR1810981,0
ERR1810985,0
ERR1810989,0
ERR1810993,0
ERR1810996,0
ERR1811000,0
ERR1811004,0
ERR1811008,0
ERR1811012,0
ERR1811016,0
ERR1811020,0
ERR1811024,0
ERR1811028,0
ERR1811032,0
ERR1811036,0
ERR1811039,0
ERR1811042,0
ERR1811045,0
ERR1811048,0
ERR1811051,0
ERR1811054,0
ERR1811066,0
ERR1811070,0
ERR1811074,0
ERR1811078,0
ERR1811081,0
ERR1811085,0
ERR1811088,0
ERR1811092,0
ERR1811096,0
ERR1811100,0
